black	#000000
dim gray,dim grey,DimGray,DimGrey	#696969
dark gray,dark grey,DarkGray,DarkGrey	#a9a9a9
gray,grey	#bebebe
light gray,light grey,LightGray,LightGrey	#d3d3d3
gainsboro	#dcdcdc
white smoke,WhiteSmoke	#f5f5f5
white	#ffffff
red	#ff0000
orange red,OrangeRed	#ff4500
dark orange,DarkOrange	#ff8c00
orange	#ffa500
gold	#ffd700
yellow	#ffff00
chartreuse	#7fff00
lawn green,LawnGreen	#7cfc00
green	#00ff00
spring green,SpringGreen	#00ff7f
medium spring green,MediumSpringGreen	#00fa9a
cyan	#00ffff
deep sky blue,DeepSkyBlue	#00bfff
blue	#0000ff
medium blue,MediumBlue	#0000cd
dark violet,DarkViolet	#9400d3
dark magenta,DarkMagenta	#8b008b
magenta	#ff00ff
dark red,DarkRed	#8b0000
brown	#a52a2a
firebrick	#b22222
indian red,IndianRed	#cd5c5c
light coral,LightCoral	#f08080
salmon	#fa8072
light salmon,LightSalmon	#ffa07a
tomato	#ff6347
coral	#ff7f50
dark salmon,DarkSalmon	#e9967a
rosy brown,RosyBrown	#bc8f8f
sienna	#a0522d
saddle brown,SaddleBrown	#8b4513
chocolate	#d2691e
peru	#cd853f
sandy brown,SandyBrown	#f4a460
burlywood	#deb887
tan	#d2b48c
navajo white,NavajoWhite	#ffdead
wheat	#f5deb3
dark goldenrod,DarkGoldenrod	#b8860b
goldenrod	#daa520
light goldenrod,LightGoldenrod	#eedd82
pale goldenrod,PaleGoldenrod	#eee8aa
cornsilk	#fff8dc
dark khaki,DarkKhaki	#bdb76b
khaki	#f0e68c
lemon chiffon,LemonChiffon	#fffacd
dark olive green,DarkOliveGreen	#556b2f
olive drab,OliveDrab	#6b8e23
yellow green,YellowGreen	#9acd32
green yellow,GreenYellow	#adff2f
light green,LightGreen	#90ee90
forest green,ForestGreen	#228b22
dark green,DarkGreen	#006400
lime green,LimeGreen	#32cd32
pale green,PaleGreen	#98fb98
dark sea green,DarkSeaGreen	#8fbc8f
sea green,SeaGreen	#2e8b57
medium sea green,MediumSeaGreen	#3cb371
light sea green,LightSeaGreen	#20b2aa
medium aquamarine,MediumAquamarine	#66cdaa
aquamarine	#7fffd4
dark cyan,DarkCyan	#008b8b
dark turquoise,DarkTurquoise	#00ced1
medium turquoise,MediumTurquoise	#48d1cc
turquoise	#40e0d0
pale turquoise,PaleTurquoise	#afeeee
powder blue,PowderBlue	#b0e0e6
light blue,LightBlue	#add8e6
sky blue,SkyBlue	#87ceeb
light sky blue,LightSkyBlue	#87cefa
cadet blue,CadetBlue	#5f9ea0
steel blue,SteelBlue	#4682b4
dark slate gray,dark slate grey,DarkSlateGray,DarkSlateGrey	#2f4f4f
slate gray,slate grey,SlateGray,SlateGrey	#708090
light slate gray,light slate grey,LightSlateGray,LightSlateGrey	#778899
royal blue,RoyalBlue	#4169e1
dodger blue,DodgerBlue	#1e90ff
cornflower blue,CornflowerBlue	#6495ed
light steel blue,LightSteelBlue	#b0c4de
dark blue,DarkBlue	#00008b
navy,navy blue,NavyBlue	#000080
midnight blue,MidnightBlue	#191970
dark slate blue,DarkSlateBlue	#483d8b
slate blue,SlateBlue	#6a5acd
medium slate blue,MediumSlateBlue	#7b68ee
light slate blue,LightSlateBlue	#8470ff
medium purple,MediumPurple	#9370db
blue violet,BlueViolet	#8a2be2
purple	#a020f0
dark orchid,DarkOrchid	#9932cc
medium orchid,MediumOrchid	#ba55d3
orchid	#da70d6
thistle	#d8bfd8
plum	#dda0dd
violet	#ee82ee
medium violet red,MediumVioletRed	#c71585
violet red,VioletRed	#d02090
pale violet red,PaleVioletRed	#db7093
maroon	#b03060
deep pink,DeepPink	#ff1493
hot pink,HotPink	#ff69b4
pink	#ffc0cb
light pink,LightPink	#ffb6c1
snow	#fffafa
misty rose,MistyRose	#ffe4e1
seashell	#fff5ee
peach puff,PeachPuff	#ffdab9
linen	#faf0e6
antique white,AntiqueWhite	#faebd7
bisque	#ffe4c4
papaya whip,PapayaWhip	#ffefd5
moccasin	#ffe4b5
blanched almond,BlanchedAlmond	#ffebcd
old lace,OldLace	#fdf5e6
floral white,FloralWhite	#fffaf0
beige	#f5f5dc
light yellow,LightYellow	#ffffe0
light goldenrod yellow,LightGoldenrodYellow	#fafad2
ivory	#fffff0
honeydew	#f0fff0
mint cream,MintCream	#f5fffa
light cyan,LightCyan	#e0ffff
azure	#f0ffff
alice blue,AliceBlue	#f0f8ff
lavender	#e6e6fa
ghost white,GhostWhite	#f8f8ff
lavender blush,LavenderBlush	#fff0f5
red4	#8b0000
red3	#cd0000
red2	#ee0000
red1	#ff0000
OrangeRed4	#8b2500
OrangeRed3	#cd3700
OrangeRed2	#ee4000
OrangeRed1	#ff4500
DarkOrange4	#8b4500
DarkOrange3	#cd6600
DarkOrange2	#ee7600
DarkOrange1	#ff7f00
orange4	#8b5a00
orange3	#cd8500
orange2	#ee9a00
orange1	#ffa500
gold4	#8b7500
gold3	#cdad00
gold2	#eec900
gold1	#ffd700
yellow4	#8b8b00
yellow3	#cdcd00
yellow2	#eeee00
yellow1	#ffff00
chartreuse4	#458b00
chartreuse3	#66cd00
chartreuse2	#76ee00
chartreuse1	#7fff00
green4	#008b00
green3	#00cd00
green2	#00ee00
green1	#00ff00
SpringGreen4	#008b45
SpringGreen3	#00cd66
SpringGreen2	#00ee76
SpringGreen1	#00ff7f
cyan4	#008b8b
cyan3	#00cdcd
cyan2	#00eeee
cyan1	#00ffff
turquoise4	#00868b
turquoise3	#00c5cd
turquoise2	#00e5ee
turquoise1	#00f5ff
DeepSkyBlue4	#00688b
DeepSkyBlue3	#009acd
DeepSkyBlue2	#00b2ee
DeepSkyBlue1	#00bfff
blue4	#00008b
blue3	#0000cd
blue2	#0000ee
blue1	#0000ff
magenta4	#8b008b
magenta3	#cd00cd
magenta2	#ee00ee
magenta1	#ff00ff
brown4	#8b2323
brown3	#cd3333
brown2	#ee3b3b
brown1	#ff4040
firebrick4	#8b1a1a
firebrick3	#cd2626
firebrick2	#ee2c2c
firebrick1	#ff3030
IndianRed4	#8b3a3a
IndianRed3	#cd5555
IndianRed2	#ee6363
IndianRed1	#ff6a6a
RosyBrown4	#8b6969
RosyBrown3	#cd9b9b
RosyBrown2	#eeb4b4
RosyBrown1	#ffc1c1
snow4	#8b8989
snow3	#cdc9c9
snow2	#eee9e9
snow1	#fffafa
MistyRose4	#8b7d7b
MistyRose3	#cdb7b5
MistyRose2	#eed5d2
MistyRose1	#ffe4e1
tomato4	#8b3626
tomato3	#cd4f39
tomato2	#ee5c42
tomato1	#ff6347
coral4	#8b3e2f
coral3	#cd5b45
coral2	#ee6a50
coral1	#ff7256
salmon4	#8b4c39
salmon3	#cd7054
salmon2	#ee8262
salmon1	#ff8c69
LightSalmon4	#8b5742
LightSalmon3	#cd8162
LightSalmon2	#ee9572
LightSalmon1	#ffa07a
sienna4	#8b4726
sienna3	#cd6839
sienna2	#ee7942
sienna1	#ff8247
chocolate4	#8b4513
chocolate3	#cd661d
chocolate2	#ee7621
chocolate1	#ff7f24
seashell4	#8b8682
seashell3	#cdc5bf
seashell2	#eee5de
seashell1	#fff5ee
PeachPuff4	#8b7765
PeachPuff3	#cdaf95
PeachPuff2	#eecbad
PeachPuff1	#ffdab9
tan4	#8b5a2b
tan3	#cd853f
tan2	#ee9a49
tan1	#ffa54f
bisque4	#8b7d6b
bisque3	#cdb79e
bisque2	#eed5b7
bisque1	#ffe4c4
AntiqueWhite4	#8b8378
AntiqueWhite3	#cdc0b0
AntiqueWhite2	#eedfcc
AntiqueWhite1	#ffefdb
burlywood4	#8b7355
burlywood3	#cdaa7d
burlywood2	#eec591
burlywood1	#ffd39b
NavajoWhite4	#8b795e
NavajoWhite3	#cdb38b
NavajoWhite2	#eecfa1
NavajoWhite1	#ffdead
wheat4	#8b7e66
wheat3	#cdba96
wheat2	#eed8ae
wheat1	#ffe7ba
DarkGoldenrod4	#8b6508
DarkGoldenrod3	#cd950c
DarkGoldenrod2	#eead0e
DarkGoldenrod1	#ffb90f
goldenrod4	#8b6914
goldenrod3	#cd9b1d
goldenrod2	#eeb422
goldenrod1	#ffc125
cornsilk4	#8b8878
cornsilk3	#cdc8b1
cornsilk2	#eee8cd
cornsilk1	#fff8dc
LightGoldenrod4	#8b814c
LightGoldenrod3	#cdbe70
LightGoldenrod2	#eedc82
LightGoldenrod1	#ffec8b
LemonChiffon4	#8b8970
LemonChiffon3	#cdc9a5
LemonChiffon2	#eee9bf
LemonChiffon1	#fffacd
khaki4	#8b864e
khaki3	#cdc673
khaki2	#eee685
khaki1	#fff68f
LightYellow4	#8b8b7a
LightYellow3	#cdcdb4
LightYellow2	#eeeed1
LightYellow1	#ffffe0
ivory4	#8b8b83
ivory3	#cdcdc1
ivory2	#eeeee0
ivory1	#fffff0
OliveDrab4	#698b22
OliveDrab3	#9acd32
OliveDrab2	#b3ee3a
OliveDrab1	#c0ff3e
DarkOliveGreen4	#6e8b3d
DarkOliveGreen3	#a2cd5a
DarkOliveGreen2	#bcee68
DarkOliveGreen1	#caff70
PaleGreen4	#548b54
PaleGreen3	#7ccd7c
PaleGreen2	#90ee90
PaleGreen1	#9aff9a
DarkSeaGreen4	#698b69
DarkSeaGreen3	#9bcd9b
DarkSeaGreen2	#b4eeb4
DarkSeaGreen1	#c1ffc1
honeydew4	#838b83
honeydew3	#c1cdc1
honeydew2	#e0eee0
honeydew1	#f0fff0
SeaGreen4	#2e8b57
SeaGreen3	#43cd80
SeaGreen2	#4eee94
SeaGreen1	#54ff9f
aquamarine4	#458b74
aquamarine3	#66cdaa
aquamarine2	#76eec6
aquamarine1	#7fffd4
DarkSlateGray4	#528b8b
DarkSlateGray3	#79cdcd
DarkSlateGray2	#8deeee
DarkSlateGray1	#97ffff
PaleTurquoise4	#668b8b
PaleTurquoise3	#96cdcd
PaleTurquoise2	#aeeeee
PaleTurquoise1	#bbffff
LightCyan4	#7a8b8b
LightCyan3	#b4cdcd
LightCyan2	#d1eeee
LightCyan1	#e0ffff
azure4	#838b8b
azure3	#c1cdcd
azure2	#e0eeee
azure1	#f0ffff
CadetBlue4	#53868b
CadetBlue3	#7ac5cd
CadetBlue2	#8ee5ee
CadetBlue1	#98f5ff
LightBlue4	#68838b
LightBlue3	#9ac0cd
LightBlue2	#b2dfee
LightBlue1	#bfefff
LightSkyBlue4	#607b8b
LightSkyBlue3	#8db6cd
LightSkyBlue2	#a4d3ee
LightSkyBlue1	#b0e2ff
SkyBlue4	#4a708b
SkyBlue3	#6ca6cd
SkyBlue2	#7ec0ee
SkyBlue1	#87ceff
SteelBlue4	#36648b
SteelBlue3	#4f94cd
SteelBlue2	#5cacee
SteelBlue1	#63b8ff
DodgerBlue4	#104e8b
DodgerBlue3	#1874cd
DodgerBlue2	#1c86ee
DodgerBlue1	#1e90ff
SlateGray4	#6c7b8b
SlateGray3	#9fb6cd
SlateGray2	#b9d3ee
SlateGray1	#c6e2ff
LightSteelBlue4	#6e7b8b
LightSteelBlue3	#a2b5cd
LightSteelBlue2	#bcd2ee
